exercise_id,type,num_questions,severity,pattern
ex-1-2-7,grammar,8,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-2-8,grammar,8,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-2-9,vocabulary,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-3-1,grammar,10,CRITICAL,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ex-1-3-2,grammar,15,WARNING,"[0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ex-1-3-4,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-3-5,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-3-6,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-1-3-7,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-2-2-ir-infinitive-new,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-2-2-tener-que,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-1,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-10,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-11,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-12,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-13,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-2,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-3,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-4,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-6,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-3-1-6-coll,collocations,2,CRITICAL,"[0, 0]"
ex-3-1-combinado,grammar,10,WARNING,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
